BioID,year,down-payment,asian,white,hispanic,black
1,1990,24580,74063,61533,43013,35974
2,1991,24000,67744,60076,42174,34955
3,1992,24300,68553,60372,40980,34012
4,1993,25300,67832,60449,40482,34552
5,1994,26000,70144,60864,40582,36434
6,1995,26780,68718,62904,38678,37888
7,1996,28000,71322,63924,41047,38700
8,1997,29200,72996,65459,42956,40411
9,1998,30500,74230,67548,45091,40350
10,1999,32200,79419,68817,47916,43497
11,2000,33800,84043,68768,49995,44718
12,2001,35040,78607,67864,49193,43191
13,2002,37520,75439,67669,47763,42098
14,2003,39000,77964,67404,46552,41885
15,2004,44200,78917,67187,47078,41534
16,2005,48180,81114,67476,47789,41128
17,2006,49300,82237,67467,48623,41353
18,2007,49580,82442,68731,48406,42664
19,2008,46420,79020,66924,45692,41392
20,2009,43340,78699,65865,46004,39608
21,2010,44360,75582,64794,44772,38258
22,2011,45440,74965,63912,44549,37331
23,2012,49040,77010,64391,44055,38084
24,2013,53780,80661,64854,45592,38704
25,2014,57700,81897,67146,44171,39021
26,2015,58840,83867,65948,46505,40646
27,2016,61560,87180,68778,49328,43217
28,2017,64620,85491,70157,51425,42865
29,2018,65280,89491,72005,52974,42977
30,2019,64300,98363,72820,53036,46648
31,2020,67380,99622,78912,58015,48175
32,2021,79420,101418,77999,57981,48297
